SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
61;Rhyme;Masc;3,26000000000000;0;10;2;0;0
61;Rhyme;Neut;3,17333333333333;1;8;0;3;0
62;NoRhyme;Fem;3,33875000000000;0;7;1;0;0
62;NoRhyme;Masc;3,45000000000000;0;5;0;0;0
62;NoRhyme;Neut;3,45000000000000;0;5;0;0;0
62;Rhyme;Fem;3,07333333333333;0;7;5;0;0
62;Rhyme;Masc;2,97500000000000;0;5;7;0;0
62;Rhyme;Neut;3,01333333333333;0;6;6;0;0
63;NoRhyme;Fem;3,62750000000000;1;11;0;0;0
63;NoRhyme;Masc;3,42166666666667;0;12;0;0;0
63;NoRhyme;Neut;3,42166666666667;0;12;0;0;0
63;Rhyme;Fem;3,58500000000000;1;10;1;0;0
63;Rhyme;Masc;3,33666666666667;0;11;1;0;0
63;Rhyme;Neut;3,39666666666667;1;11;0;0;0
64;NoRhyme;Fem;5,36666666666667;10;2;0;0;0
64;NoRhyme;Masc;3,40750000000000;0;12;0;0;0
64;NoRhyme;Neut;3,40750000000000;0;12;0;0;0
64;Rhyme;Fem;5,54416666666667;11;0;1;0;0
64;Rhyme;Masc;3,73416666666667;2;9;1;0;0
64;Rhyme;Neut;4,01416666666667;4;7;1;0;0
65;NoRhyme;Fem;3,15272727272727;1;4;5;1;0
65;NoRhyme;Masc;3,69750000000000;4;1;7;0;0
65;NoRhyme;Neut;3,09700000000000;0;6;3;1;0
65;Rhyme;Fem;3,80250000000000;3;6;3;0;0
65;Rhyme;Masc;4,18583333333333;5;4;3;0;0
65;Rhyme;Neut;3,59666666666667;2;7;3;0;0
66;NoRhyme;Fem;3,80500000000000;2;10;0;0;0
66;NoRhyme;Masc;3,40750000000000;0;12;0;0;0
66;NoRhyme;Neut;3,59916666666667;1;11;0;0;0
66;Rhyme;Fem;3,76250000000000;2;9;1;0;0
66;Rhyme;Masc;3,47750000000000;1;9;1;1;0
66;Rhyme;Neut;3,46333333333333;1;9;1;1;0
67;NoRhyme;Fem;5,36666666666667;10;2;0;0;0
67;NoRhyme;Masc;5,17500000000000;9;3;0;0;0
67;NoRhyme;Neut;4,98333333333333;8;4;0;0;0
67;Rhyme;Fem;4,40833333333333;5;7;0;0;0
67;Rhyme;Masc;4,96916666666667;8;4;0;0;0
67;Rhyme;Neut;4,58583333333333;6;6;0;0;0
68;NoRhyme;Fem;3,38583333333333;2;5;1;4;0
68;NoRhyme;Masc;2,80166666666667;0;5;1;6;0
68;NoRhyme;Neut;2,61500000000000;0;3;1;8;0
68;Rhyme;Fem;3,79583333333333;3;6;1;2;0
68;Rhyme;Masc;3,92909090909091;3;7;0;1;0
68;Rhyme;Neut;3,24500000000000;2;3;1;6;0
69;NoRhyme;Fem;5,37000000000000;11;0;0;0;1
69;NoRhyme;Masc;4,76083333333333;8;1;3;0;0
69;NoRhyme;Neut;4,09250000000000;5;3;3;1;0
69;Rhyme;Fem;4,98333333333333;8;4;0;0;0
69;Rhyme;Masc;4,52583333333333;6;5;1;0;0
69;Rhyme;Neut;3,77166666666667;4;2;6;0;0
70;NoRhyme;Fem;5,55833333333333;11;1;0;0;0
70;NoRhyme;Masc;4,40833333333333;5;7;0;0;0
70;NoRhyme;Neut;4,98333333333333;8;4;0;0;0
70;Rhyme;Fem;4,60000000000000;6;6;0;0;0
70;Rhyme;Masc;4,21666666666667;4;8;0;0;0
70;Rhyme;Neut;4,39416666666667;5;7;0;0;0
71;NoRhyme;Fem;4,40833333333333;5;7;0;0;0
71;NoRhyme;Masc;2,82583333333333;1;0;11;0;0
71;NoRhyme;Neut;2,33000000000000;0;0;0;12;0
71;Rhyme;Fem;3,98250000000000;3;8;1;0;0
71;Rhyme;Masc;3,01750000000000;1;2;9;0;0
71;Rhyme;Neut;2,61500000000000;1;0;0;11;0
72;NoRhyme;Fem;3,45000000000000;0;12;0;0;0
72;NoRhyme;Masc;3,45000000000000;0;12;0;0;0
72;NoRhyme;Neut;3,64166666666667;1;11;0;0;0
72;Rhyme;Fem;3,39333333333333;0;11;1;0;0
72;Rhyme;Masc;3,43583333333333;0;11;1;0;0
72;Rhyme;Neut;3,39333333333333;0;11;1;0;0
73;NoRhyme;Fem;4,21666666666667;4;8;0;0;0
73;NoRhyme;Masc;4,28636363636364;4;7;0;0;0
73;NoRhyme;Neut;4,20545454545455;4;6;1;0;0
73;Rhyme;Fem;3,81916666666667;2;10;0;0;0
73;Rhyme;Masc;3,79833333333333;3;8;1;0;0
73;Rhyme;Neut;3,73833333333333;3;7;2;0;0
74;NoRhyme;Fem;3,68000000000000;1;9;0;0;0
74;NoRhyme;Masc;5,36666666666667;10;2;0;0;0
74;NoRhyme;Neut;5,75000000000000;12;0;0;0;0
74;Rhyme;Fem;3,63416666666667;3;8;1;0;0
74;Rhyme;Masc;4,02000000000000;7;5;0;0;0
74;Rhyme;Neut;4,58333333333333;12;0;0;0;0
75;NoRhyme;Fem;4,60000000000000;6;6;0;0;0
75;NoRhyme;Masc;3,17500000000000;1;6;0;5;0
75;NoRhyme;Neut;4,98333333333333;8;4;0;0;0
75;Rhyme;Fem;3,83666666666667;3;9;0;0;0
75;Rhyme;Masc;2,67500000000000;0;4;0;8;0
75;Rhyme;Neut;3,79083333333333;2;10;0;0;0
76;NoRhyme;Fem;4,79166666666667;7;5;0;0;0
76;NoRhyme;Masc;4,07727272727273;3;8;0;0;0
76;NoRhyme;Neut;4,21666666666667;4;8;0;0;0
76;Rhyme;Fem;4,57166666666667;6;6;0;0;0
76;Rhyme;Masc;4,60333333333333;7;4;1;0;0
76;Rhyme;Neut;4,66083333333333;7;3;2;0;0
77;NoRhyme;Fem;4,58583333333333;6;6;0;0;0
